video,poster,appcode,poster_width_px,poster_height_px,appcode_width_px,appcode_x_px,appcode_y_px,poster_width_meters,poster_height_meters,status,frames_processed,frames_tracked,frames_tracked_percent,notes
ic_QA2.mov,b26_Generated__bubbly_image_56__r20__1.png,bubbly_image_56_nn_3|bubbly_image_56_nn_3|bubbly_image_56_nn_3|bubbly_image_56_nn_3,1007,1502,300|300|300|300,50|657|657|50,75|1127|75|1127,0.18,0.268,processed,5312,5312,100,
ic_QA3.mov,b26_Generated__bubbly_image_57__r20__2.png,bubbly_image_57_cn_1|bubbly_image_57_cn_1,1202,1838,368|368,60|774,92|1378,0.187,0.287,processed,2514,2514,100,
ic_QA4.mov,b27_Generated__bubbly_image_58__r20__0.png,bubbly_image_58_cn_1|bubbly_image_58_cn_1|bubbly_image_58_cn_1|bubbly_image_58_cn_1,1502,2258,452|452|452|452,75|975|975|75,113|1693|113|1693,0.178,0.268,processed,5512,5512,100,
ic_QA7.mov,b27_Generated__bubbly_image_61__r20__0.png,bubbly_image_61_cn_1|bubbly_image_61_cn_1,1835,2500,500|500,92|1243,125|1875,0.198,0.268,processed,2682,2682,100,
ic_QA8.mov,b27_Generated__bubbly_image_62__r20__2.png,bubbly_image_62_nn_3|bubbly_image_62_nn_3|bubbly_image_62_nn_3|bubbly_image_62_nn_3,992,1502,300|300|300|300,50|642|642|50,75|1127|75|1127,0.189,0.286,processed,5004,4876,97,
dc_QA2.mov,b25_Generated__bubbly_image_35__r20__94.png,dark_cn_1,1747,2253,452,648,900,0.204,0.263,processed,1248,1248,100,
dc_QA3.mov,b25_Generated__bubbly_image_36__r20__95.png,dark_cn_9,963,1484,298,332,593,0.184,0.286,processed,1280,1280,100,
dc_QA4.mov,b25_Generated__bubbly_image_37__r20__96.png,dark_cn_3,774,1183,238,268,472,0.176,0.268,processed,1276,1276,100,
dc_QA5.mov,b25_Generated__bubbly_image_38__r20__97.png,dark_cn_4,1202,1787,358,422,714,0.19,0.285,error,1221,1221,100,Missing timestamps
dc_QA7.mov,b25_Generated__bubbly_image_40__r20__99.png,dark_cn_6,3093,5017,1004,1044,2006,0.167,0.268,processed,1278,1278,100,
dc_QA8.mov,b25_Generated__bubbly_image_41__r20__100.png,dark_cn_7,761,1082,216,272,433,0.201,0.285,processed,1303,1303,100,
LA_AL2.mov,b25_Generated__bubbly_image_43__r20__103.png,bubbly_image_43_cn_0,1858,2615,524,667,1046,0.198,0.285,processed,1243,1243,100,
LA_AL4.mov,b25_Generated__bubbly_image_45__r20__107.png,bubbly_image_45_cn_0,2452,3662,732,860,1465,0.183,0.291,processed,1261,790,62,
LA_AL5.mov,b25_Generated__bubbly_image_46__r20__109.png,bubbly_image_46_cn_0,1202,1804,362,420,721,0.181,0.287,error,1236,1236,100,Missing timestamps
LA_AL7.mov,b25_Generated__bubbly_image_42__r20__102.png,bubbly_image_42_nn_2,1202,1745,350,426,698,0.195,0.285,processed,1297,1297,100,
LA_AL8.mov,b27_Generated__bubbly_image_43__r20__8.png,bubbly_image_43_nn_2,1858,2615,524,667,1046,0.19,0.286,processed,1270,504,39,
