video,poster,appcode,poster_width_px,poster_height_px,appcode_width_px,appcode_x_px,appcode_y_px,poster_width_meters,poster_height_meters,status,frames_processed,frames_tracked,frames_tracked_percent,notes
swap_AL1.mov,b25_Generated__bubbly_image_14__r20__57.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '128.0'"")"
swap_AL2.mov,b25_Generated__bubbly_image_15__r20__59.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '142.0'"")"
swap_AL3.mov,b25_Generated__bubbly_image_16__r20__61.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '146.0'"")"
swap_AL4.mov,b27_Generated__bubbly_image_17__r20__3.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '141.0'"")"
dv_QA1.mov,b25_Generated__bubbly_image_19__r20__65.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
dv_QA2.mov,b25_Generated__bubbly_image_19__r20__66.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '170.0'"")"
dv_QA3.mov,b25_Generated__bubbly_image_20__r20__67.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '187.0'"")"
dv_QA4.mov,b25_Generated__bubbly_image_20__r20__68.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '176.0'"")"
dv_AL1.mov,b25_Generated__bubbly_image_21__r20__69.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '188.0'"")"
dv_AL2.mov,b25_Generated__bubbly_image_21__r20__70.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
dv_AL3.mov,b25_Generated__bubbly_image_23__r20__71.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
dv_AL4.mov,b25_Generated__bubbly_image_23__r20__72.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '191.0'"")"
dv_QA5.mov,b25_Generated__bubbly_image_24__r20__73.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '182.0'"")"
dv_QA6.mov,b25_Generated__bubbly_image_24__r20__74.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '190.0'"")"
dv_QA7.mov,b25_Generated__bubbly_image_25__r20__75.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '85.0'"")"
dv_QA8.mov,b25_Generated__bubbly_image_25__r20__76.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
dv_AL5.mov,b25_Generated__bubbly_image_26__r20__77.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
dv_AL6.mov,b27_Generated__bubbly_image_26__r20__5.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
dv_AL7.mov,b25_Generated__bubbly_image_27__r20__79.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
dv_AL8.mov,b25_Generated__bubbly_image_27__r20__80.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
bw_QA1.mov,b25_Generated__bubbly_image_28__r20__81.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '197.0'"")"
bw_QA2.mov,b25_Generated__bubbly_image_29__r20__83.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '169.0'"")"
bw_QA3.mov,b25_Generated__bubbly_image_30__r20__85.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '182.0'"")"
bw_QA4.mov,b25_Generated__bubbly_image_31__r20__87.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '183.0'"")"
bw_QA5.mov,b25_Generated__bubbly_image_32__r20__89.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '187.0'"")"
bw_QA6.mov,b25_Generated__bubbly_image_33__r20__91.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
bw_QA7.mov,b25_Generated__bubbly_image_28__r20__82.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '198.0'"")"
bw_QA8.mov,b27_Generated__bubbly_image_29__r20__6.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '169.0'"")"
bw_QA9.mov,b25_Generated__bubbly_image_30__r20__86.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '183.0'"")"
bw_QA10.mov,b26_Generated__bubbly_image_31__r20__0.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '192.0'"")"
bw_QA11.mov,b25_Generated__bubbly_image_32__r20__90.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
bw_QA12.mov,b25_Generated__bubbly_image_33__r20__92.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '177.0'"")"
mk_AL1.mov,b25_Generated__market_algs1__r20__0.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '197.0'"")"
mk_AL2.mov,b25_Generated__market_algs2__r20__1.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '184.0'"")"
mk_AL3.mov,b25_Generated__market_algs3__r20__2.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '195.0'"")"
mk_AL4.mov,b25_Generated__market_algs4__r20__3.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
mk_AL5.mov,b25_Generated__market_algs5__r20__4.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '194.0'"")"
mk_AL6.mov,b25_Generated__market_algs6__r20__5.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '197.0'"")"
mk_AL7.mov,b25_Generated__market_algs7__r20__6.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '179.0'"")"
mk_AL8.mov,b25_Generated__market_algs8__r20__7.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '195.0'"")"
mk_AL9.mov,b25_Generated__market_algs9__r20__8.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '177.0'"")"
mk_AL10.mov,b25_Generated__market_algs10__r20__9.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '194.0'"")"
mk_QA1.mov,b25_Generated__market_qa1__r20__10.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '190.0'"")"
mk_QA2.mov,b25_Generated__market_qa2__r20__11.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '204.0'"")"
mk_QA3.mov,b25_Generated__market_qa3__r20__12.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '195.0'"")"
mk_QA4.mov,b25_Generated__market_qa4__r20__13.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '54.0'"")"
mk_QA5.mov,b25_Generated__market_qa5__r20__14.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '139.0'"")"
mk_QA6.mov,b25_Generated__market_qa6__r20__15.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '198.0'"")"
mk_QA7.mov,b25_Generated__market_qa7__r20__16.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '175.0'"")"
mk_QA8.mov,b25_Generated__market_qa8__r20__17.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '195.0'"")"
mk_QA9.mov,b25_Generated__market_qa9__r20__18.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
mk_QA10.mov,b25_Generated__market_qa10__r20__19.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '197.0'"")"
sm_QA1.mov,b25_Generated__similar_1__r20__20.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '183.0'"")"
sm_QA2.mov,b25_Generated__similar_2__r20__21.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '181.0'"")"
sm_QA3.mov,b25_Generated__similar_3__r20__22.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '189.0'"")"
sm_QA4.mov,b25_Generated__similar_4__r20__23.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
sm_QA5.mov,b25_Generated__similar_5__r20__24.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '190.0'"")"
sm_QA6.mov,b25_Generated__similar_6__r20__25.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
sm_QA7.mov,b25_Generated__similar_7__r20__26.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
sm_QA8.mov,b25_Generated__similar_8__r20__27.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '189.0'"")"
sm_QA9.mov,b25_Generated__similar_9__r20__28.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '183.0'"")"
sm_QA10.mov,b25_Generated__similar_10__r20__29.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '195.0'"")"
sm_QA11.mov,b25_Generated__similar_11__r20__30.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '195.0'"")"
sm_QA12.mov,b25_Generated__similar_12__r20__31.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '186.0'"")"
sm_QA13.mov,b25_Generated__similar_13__r20__32.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '189.0'"")"
sm_QA14.mov,b25_Generated__similar_14__r20__33.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
sm_QA15.mov,b25_Generated__similar_15__r20__34.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '192.0'"")"
sm_QA16.mov,b25_Generated__similar_16__r20__35.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '197.0'"")"
sm_QA17.mov,b25_Generated__similar_17__r20__36.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '184.0'"")"
ic_QA1.mov,b26_Generated__bubbly_image_55__r20__0.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '198.0'"")"
ic_QA2.mov,b26_Generated__bubbly_image_56__r20__1.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
ic_QA3.mov,b26_Generated__bubbly_image_57__r20__2.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '187.0'"")"
ic_QA4.mov,b27_Generated__bubbly_image_58__r20__0.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '178.0'"")"
ic_QA5.mov,b26_Generated__bubbly_image_59__r20__4.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '188.0'"")"
ic_QA6.mov,b26_Generated__bubbly_image_60__r20__5.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
ic_QA7.mov,b27_Generated__bubbly_image_61__r20__0.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '198.0'"")"
ic_QA8.mov,b27_Generated__bubbly_image_62__r20__2.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '189.0'"")"
dc_QA1.mov,b25_Generated__bubbly_image_34__r20__93.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
dc_QA2.mov,b25_Generated__bubbly_image_35__r20__94.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '204.0'"")"
dc_QA3.mov,b25_Generated__bubbly_image_36__r20__95.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '184.0'"")"
dc_QA4.mov,b25_Generated__bubbly_image_37__r20__96.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '176.0'"")"
dc_QA5.mov,b25_Generated__bubbly_image_38__r20__97.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '190.0'"")"
dc_QA6.mov,b25_Generated__bubbly_image_39__r20__98.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
dc_QA7.mov,b25_Generated__bubbly_image_40__r20__99.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '167.0'"")"
dc_QA8.mov,b25_Generated__bubbly_image_41__r20__100.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '201.0'"")"
LA_AL1.mov,b25_Generated__bubbly_image_42__r20__101.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '195.0'"")"
LA_AL2.mov,b25_Generated__bubbly_image_43__r20__103.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '198.0'"")"
LA_AL3.mov,b25_Generated__bubbly_image_44__r20__105.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '179.0'"")"
LA_AL4.mov,b25_Generated__bubbly_image_45__r20__107.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '183.0'"")"
LA_AL5.mov,b25_Generated__bubbly_image_46__r20__109.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '181.0'"")"
LA_AL6.mov,b25_Generated__bubbly_image_47__r20__111.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '190.0'"")"
LA_AL7.mov,b25_Generated__bubbly_image_42__r20__102.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '195.0'"")"
LA_AL8.mov,b27_Generated__bubbly_image_43__r20__8.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '190.0'"")"
LA_AL9.mov,b25_Generated__bubbly_image_44__r20__106.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
LA_AL10.mov,b25_Generated__bubbly_image_45__r20__108.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '193.0'"")"
LA_AL11.mov,b25_Generated__bubbly_image_46__r20__110.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '190.0'"")"
LA_AL12.mov,b25_Generated__bubbly_image_47__r20__112.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
LA_QA1.mov,b25_Generated__bubbly_image_48__r20__113.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '176.0'"")"
LA_QA2.mov,b25_Generated__bubbly_image_49__r20__115.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '203.0'"")"
LA_QA3.mov,b25_Generated__bubbly_image_50__r20__117.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '187.0'"")"
LA_QA4.mov,b25_Generated__bubbly_image_51__r20__119.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
LA_QA5.mov,b25_Generated__bubbly_image_52__r20__121.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
LA_QA6.mov,b25_Generated__bubbly_image_53__r20__123.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '187.0'"")"
LA_QA7.mov,b25_Generated__bubbly_image_48__r20__114.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '176.0'"")"
LA_QA8.mov,b25_Generated__bubbly_image_49__r20__116.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '203.0'"")"
LA_QA9.mov,b25_Generated__bubbly_image_50__r20__118.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '189.0'"")"
LA_QA10.mov,b27_Generated__bubbly_image_51__r20__9.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '178.0'"")"
LA_QA11.mov,b27_Generated__bubbly_image_52__r20__10.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '203.0'"")"
LA_QA12.mov,b27_Generated__bubbly_image_53__r20__11.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '187.0'"")"
mq_AL1.mov,b25_Generated__qr_1__r32__0.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '192.0'"")"
mq_AL2.mov,b25_Generated__qr_2__r32__1.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '186.0'"")"
mq_AL3.mov,b25_Generated__qr_3__r32__2.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '184.0'"")"
mq_AL4.mov,b25_Generated__qr_4__r32__3.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '183.0'"")"
mq_AL5.mov,b25_Generated__qr_5__r32__4.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '195.0'"")"
mq_AL6.mov,b25_Generated__qr_6__r32__5.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '193.0'"")"
mq_QA1.mov,b25_Generated__qr_7__r32__6.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '190.0'"")"
mq_QA2.mov,b25_Generated__qr_1__r32__7.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '184.0'"")"
mq_QA3.mov,b25_Generated__qr_2__r32__8.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '180.0'"")"
mq_QA4.mov,b25_Generated__qr_3__r32__9.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '193.0'"")"
mq_QA5.mov,b25_Generated__qr_4__r32__3.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '193.0'"")"
mq_QA6.mov,b25_Generated__qr_5__r32__11.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '185.0'"")"
rw_AL1.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL2.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL3.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL4.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL5.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA1.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA2.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA3.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA4.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA5.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL6.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL7.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL8.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL9.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_AL10.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA6.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA7.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA8.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA9.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
rw_QA10.mov,,,,,,,,,,error,,,,"ValueError(""PosixPath('.') has an empty name"")"
LC_AL1.mov,b25_Generated__bubbly_image_71s__r99__8.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '286.0'"")"
LC_AL2.mov,b25_Generated__bubbly_image_71s__r99__9.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '285.0'"")"
LC_AL3.mov,b25_Generated__bubbly_image_71s__r99__10.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '288.0'"")"
LC_AL4.mov,b25_Generated__bubbly_image_71s__r99__11.png,,,,,,,,,error,,,,"ValueError(""invalid literal for int() with base 10: '285.0'"")"
